setor;cnae_classe;situacao_cadastral;natureza_juridica;grande_empresa;obrigacoes_acessorias;obrigacao_principal;atuacao_fiscal;analise_comparativa;consistencia;comercio_exterior;conformidade;impacto
01000 - Instituicoes Financeiras e de Seguros;64221;Ativa;Entidades empresariais;Sim;0,8862;0,9575;0,9900;0,5106;0,9237;0,7857;0,8875;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;64221;Ativa;Entidades empresariais;Sim;0,9059;0,9717;1,0000;0,5556;0,9483;1;0,9272;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;64930;Ativa;Entidades empresariais;Sim;0,9885;0,9975;1,0000;0,5203;0,6413;1;0,843;Muito Alto
08001 - Automoveis;45307;Ativa;Entidades empresariais;Sim;1,0000;0,9286;1,0000;0,4536;0,8905;1;0,9039;Moderado
08001 - Automoveis;64620;Ativa;Entidades empresariais;Sim;1,0000;0,8800;0,9630;0,4444;0,9494;1;0,9045;Muito Baixo
03000 - Eletricidade;64620;Ativa;Entidades empresariais;Sim;0,7264;0,8561;0,9000;0,5556;0,841;0,9786;0,8331;Muito Alto
06004 - Alimentos Processados;10414;Ativa;Entidades empresariais;Sim;0,8826;0,9997;0,9344;0,6667;0,8237;0,7857;0,8622;Muito Alto
10003 - Bens de Capital;27333;Ativa;Entidades empresariais;Sim;0,9560;0,9749;1,0000;0,4444;0,9126;0,7855;0,8894;Moderado
10001 - Textil;13138;Ativa;Entidades empresariais;Sim;0,9730;0,7352;1,0000;0,6667;0,871;0,9192;0,8854;Alto
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,8598;0,9994;0,9583;0,6667;0,9764;0,7206;0,9059;Alto
06004 - Alimentos Processados;10996;Ativa;Entidades empresariais;Sim;0,9022;0,8837;0,8870;0,4444;0,6604;0,8146;0,7686;Moderado
04001 - Tecnologia (Software e Comercio);46516;Ativa;Entidades empresariais;Sim;0,9931;0,9998;1,0000;0,6667;0,9406;0,7017;0,9183;Alto
10002 - Bens de Capital - Comercio e Servicos;46630;Ativa;Entidades empresariais;Sim;0,9663;0,9655;0,9779;0,4444;0,9495;0,7643;0,892;Moderado
03005 - Construcao - Servicos;43291;Ativa;Entidades empresariais;Sim;0,7795;0,9308;0,9487;0,5051;0,6535;0,8666;0,7885;Muito Alto
09003 - Farmaceutico e Produtos Hospitalares;46648;Ativa;Entidades empresariais;Sim;0,8666;0,8734;0,7751;0,4561;0,9071;0,8028;0,8065;Muito Alto
11003 - Atividades profissionais, cientificas e tecnicas;84116;Ativa;Entidades empresariais;Sim;0,9915;0,7072;1,0000;0,5755;0,7063;1;0,8335;Muito Baixo
03004 - Construcao - Obras de Infra-estrutura;42138;Ativa;Entidades empresariais;Sim;0,9201;0,9969;1,0000;0,1921;0,8313;1;0,8602;Alto
11004 - Atividades Imobiliarias, Shopping Center;64620;Ativa;Entidades empresariais;Sim;0,8641;0,8995;0,9567;0,4445;0,6337;1;0,7968;Muito Baixo
11003 - Atividades profissionais, cientificas e tecnicas;71197;Ativa;Entidades empresariais;Sim;0,7968;0,9997;1,0000;0,1163;0,5714;1;0,7627;Muito Baixo
06005 - Bebidas - Nao Alcoolicos;11216;Ativa;Entidades empresariais;Sim;0,7749;0,9692;0,9537;0,6667;0,8744;0,7796;0,8678;Alto
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,9205;0,8568;0,9710;0,4575;0,8649;1;0,872;Moderado
06002 - Turismo, Hotelaria e Lazer;56201;Ativa;Entidades empresariais;Sim;0,9824;0,8630;1,0000;0,6197;0,7095;1;0,8566;Muito Baixo
05002 - Cimento, ceramicas e revestimentos;23206;Ativa;Entidades empresariais;Sim;0,8646;0,8928;0,9100;0,5556;0,851;0,8043;0,8397;Muito Alto
09001 - Educacao;85317;Ativa;Entidades sem fins lucrativos;Sim;0,7194;0,9979;1,0000;0,5556;0,7022;1;0,8379;Alto
07001 - Supermercados;47113;Ativa;Entidades empresariais;Sim;0,8707;0,8717;0,9476;0,6667;0,8633;0,8537;0,868;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;66126;Ativa;Entidades empresariais;Sim;0,9562;1,0000;1,0000;0,5511;0,9907;1;0,9479;Muito Alto
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9562;1,0000;1,0000;0,4444;0,9444;1;0,9234;Alto
11007 - Igrejas e Associacoes;94111;Ativa;Entidades sem fins lucrativos;Sim;0,9919;0,9998;1,0000;0,6667;0,8984;1;0,9354;Baixo
04001 - Tecnologia (Software e Comercio);46516;Ativa;Entidades empresariais;Sim;0,8644;0,8875;0,9716;0,4444;0,8751;0,8563;0,8576;Alto
07001 - Supermercados;47113;Ativa;Entidades empresariais;Sim;0,6914;0,8018;0,7667;0,4444;0,7757;1;0,7572;Muito Alto
06005 - Bebidas - Nao Alcoolicos;11224;Ativa;Entidades empresariais;Sim;0,9913;0,9172;0,7667;0,6667;0,9711;0,8256;0,8644;Muito Alto
08002 - Transporte Aereo e Gestao de Aeroportos;51200;Ativa;Entidades empresariais;Sim;0,9358;0,8977;0,9644;0,4444;0,8935;0,7233;0,8562;Muito Alto
09001 - Educacao;85333;Ativa;Entidades empresariais;Sim;0,8410;0,9991;1,0000;0,6667;0,6488;1;0,8453;Moderado
06004 - Alimentos Processados;10422;Ativa;Entidades empresariais;Sim;0,8492;0,7035;0,9758;0,5556;0,7745;0,7203;0,8025;Muito Alto
03002 - agua e Esgoto;36006;Ativa;Entidades empresariais;Sim;0,8898;0,8828;1,0000;0,4554;0,7059;1;0,8322;Muito Alto
08003 - Transporte Maritimo;64620;Ativa;Entidades empresariais;Sim;0,7273;1,0000;1,0000;0,5556;0,4286;1;0,7569;Baixo
11000 - Teleatendimento e Selecao, agenciamento e locacao de mao de obra;78302;Ativa;Entidades empresariais;Sim;0,9409;0,8384;1,0000;0,5556;0,3818;1;0,7448;Muito Baixo
11003 - Atividades profissionais, cientificas e tecnicas;72100;Ativa;Entidades empresariais;Sim;0,8075;0,9901;0,8000;0,6667;0,695;0,9286;0,7916;Muito Alto
09002 - Fumo;12107;Ativa;Entidades empresariais;Sim;0,9586;0,9319;1,0000;0,6667;0,9069;0,661;0,8925;Alto
